1,0.118797620692,prevent the formation of
1,0.0851381534175,block the production of
1,0.0691388000342,inhibit the production of
1,0.0676126014388,reduce the formation of
1,0.0534317105405,is prescribed to reduce
1,0.0525670137248,help to balance
1,0.0525670137248,is an inhibitor to
1,0.0518605049834,inhibit the absorption of
1,0.0517861127564,inhibit the formation of
1,0.0514127700139,may help protect against
2,0.000730478786576,help rid the body of
2,0.000640498623843,bind to
2,0.00059867717127,neutralize the effects of
2,0.000531810692063,counter the effects of
2,0.000454048362965,counteract the effect of
2,0.000423539087062,protect against
2,0.000378350055704,block the formation of
2,0.000377877872497,help protect the body from
2,0.000377730523482,can stabilize
2,0.000377730523482,reduce the level of
3,5.40692211012e-06,help fight
3,3.03260578583e-06,protect from
3,2.73972252248e-06,can minimize
3,2.69688019266e-06,can help prevent
3,2.56671895256e-06,alone cannot make
3,2.48940043599e-06,defend the body against
3,2.26452587817e-06,are more complex than
3,2.24539282822e-06,offer protection from
3,2.24468365667e-06,can break the cycle of
3,2.24325438735e-06,help stop
4,2.00661632044e-08,help protect people from
4,1.76529869358e-08,protect the body from
4,1.55528383257e-08,only work on
4,1.45284153828e-08,only treat
4,1.44504617784e-08,are only effective against
4,1.43631987003e-08,will be prescribed for
4,1.43501394078e-08,should only be prescribed for
4,1.25608241374e-08,are used only for
4,1.22149817955e-08,are prescribed for
4,1.1345175943e-08,do n't stop
5,2.30857299552e-10,work only on
5,1.88656292637e-10,are effective against
5,1.40384377103e-10,only kill
5,1.40142717614e-10,are designed to kill
5,1.39462607299e-10,can kill
5,1.37789626469e-10,are used to kill
5,1.3731018608e-10,are effective only against
5,1.3731018608e-10,are used to treat infections caused by
5,1.36709490664e-10,wipe out
5,1.36355056746e-10,inhibit the growth of
6,7.36686392338e-13,kill more than
6,6.8725320368e-13,are often used to control
6,6.2895413275e-13,are intended to control
6,5.98190456221e-13,are used to control
6,5.12608219233e-13,do n't kill
6,5.02717666375e-13,will increase their understanding of
6,4.94542541099e-13,are used for eliminating
6,4.94542541099e-13,reduced the abundance of
6,4.76178669037e-13,are a standard component of
6,4.04922905012e-13,used to destroy
7,1.04117720743e-14,dont kill
7,4.3473059178e-15,do n't shoot
7,3.65625967142e-15,do n't save
7,3.50693419461e-15,may be used to treat
7,3.44681999494e-15,may be prescribed to prevent
7,3.29087675439e-15,may also be used to prevent
7,2.89061811847e-15,do n't murder
7,2.77434574367e-15,are killing
7,2.54035327211e-15,were just
7,2.4860435909e-15,were designed to kill
8,4.20514350312e-17,are like
8,3.65510651367e-17,are much like
8,3.38136166548e-17,employ large numbers of
8,3.34795335922e-17,are just like
8,3.25956220818e-17,are made up of
8,2.70590750621e-17,write for
8,2.63935979484e-17,are groups of
8,2.49218153036e-17,predicted the demise of
8,2.47788945039e-17,come from
8,2.46022065863e-17,are there to help
9,7.45054712976e-19,are a lot like
9,5.50606183379e-19,are comprised of
9,4.52788549544e-19,are composed of
9,4.29757724623e-19,are made of
9,4.22853846186e-19,are just collections of
9,3.7639899327e-19,are fundamentally composed of
9,3.71999918966e-19,are as individual as
9,3.52111074622e-19,do n't hire
9,3.36721726679e-19,bring out the best in
